"year","X","Y","latitude","pike","perch","stickleback","distance","BIASmean","SWM","fishing","totalTopPred","seal","corm2","DD","conn35","conn32","area_net_32","connected_area_net_32","node_id_32","area_net_35","connected_area_net_35","node_id_35","bay","fishPred","stickleback_int","RPD"
2001,601840.311960338,6366950.58789736,57.4338333333333,14.5027386815003,0,0,713.261134298528,NA,580,24.7542502384381,11.5263710021973,11.5263710021973,0,262.359652476014,159312.258298952,109028.143151614,64685,881393.054237972,27993,10506,1302226.22022968,26823,"Ålahaken",15,0,1
2001,601860.784442281,6366932.53693094,57.4336666666667,0,33.1491169862864,0,684.692504882812,NA,625,24.7542502384381,11.5263710021973,11.5263710021973,0,262.359652476014,159238.75490994,109053.296929363,64685,881393.054237972,27993,10506,1302226.22022968,26823,"utanför Valjeviken",33,0,1
2001,601881.257103896,6366914.4860658,57.4335,0,0,0,655.490966796875,NA,772,24.7542502384381,11.5263710021973,11.5263710021973,0,262.359652476014,159308.409560097,108963.01894041,64685,881393.054237972,27993,10506,1302226.22022968,26823,"utanför Valjeviken",0,0,NA
2001,601983.159478007,6366842.78367623,57.4328333333333,0,0,0,528.857971191406,NA,983,24.7542502384381,11.5263710021973,11.5263710021973,0,262.359652476014,159055.934089193,108706.953659654,64685,881393.054237972,27993,10506,1302226.22022968,26823,"utanför Valjeviken",0,0,NA
2001,601984.086735391,6366805.68284335,57.4325,0,0,0,503.179473876953,NA,1777,24.7542502384381,11.5263710021973,11.5263710021973,0,262.359652476014,158981.302494972,108585.992857083,64685,881393.054237972,27993,10506,1302226.22022968,26823,"Sölvesborgsviken",0,0,NA
2001,601992.237091019,6366880.13457541,57.4331666666667,0,0,0,561.256225585938,NA,668,24.7542502384381,11.5263710021973,11.5263710021973,0,262.359652476014,159189.574001359,108768.416334203,64685,881393.054237972,27993,10506,1302226.22022968,26823,"utanför Valjeviken",0,0,NA
2001,602001.314518186,6366917.48549822,57.4335,0,0,0,596.061152589883,NA,440,24.7542502384381,11.5263710021973,11.5263710021973,0,262.359652476014,159090.373378908,108967.348121971,64685,881393.054237972,27993,10506,1302226.22022968,26823,"utanför Valjeviken",0,0,NA
2001,602002.24196455,6366880.38466442,57.4331666666667,0,0,0,557.234191894531,NA,570,24.7542502384381,11.5263710021973,11.5263710021973,0,262.359652476014,159198.017936903,108921.96523173,64685,881393.054237972,27993,10506,1302226.22022968,26823,"Sölvesborgsviken",0,0,NA
2001,602032.25658296,6366881.1350787,57.4331666666667,0,0,0,559.986633300781,NA,467,24.7542502384381,11.5263710021973,11.5263710021973,0,262.359652476014,159253.113626043,108818.495133802,64685,881393.054237972,27993,10506,1302226.22022968,26823,"Sölvesborgsviken",0,0,NA
2001,602094.60645809,6366789.88452348,57.4323333333333,0,0,0,526.114501953125,NA,332,24.7542502384381,11.5263710021973,11.5263710021973,0,262.359652476014,158806.823438325,108476.419874747,64685,881393.054237972,27993,10506,1302226.22022968,26823,"Sölvesborgsviken",0,0,NA
2001,670543.738367208,6705506.1400866,60.44966,0,27.5879244722944,1.08763406868244,5133.22119140625,NA,810,65.8756576862414,57.9383163452148,57.9383163452148,0,204.619717036934,NA,NA,88208,353992.29827817,9678,46729,615051.456946602,10616,"utanför Valjeviken",28,1,0.96207104154124
2001,673478.669424543,6701884.24564077,60.4159388833333,0,1.10058209330962,0,6822.41912416295,NA,315,69.8871577269315,90.8337249755859,90.8337249755859,0,205.629717014358,NA,NA,28777,232389.051108659,10004,34702,452066.99620718,10920,"Sölvesborgsviken",1,0,1
